hogar,id,sexo,edad,etnia,sector,area,educacion,ingreso
306,1,Masc,46,No indígena,Informal,Urbana,3,0
307,1,Masc,56,No indígena,Formal,Urbana,6,12000
307,2,Masc,36,No indígena,Informal,Urbana,6,0
308,1,Fem,37,Indígena,Informal,Urbana,5,4000
310,1,Masc,24,No indígena,Formal,Urbana,5,25750
310,2,Fem,24,No indígena,Informal,Urbana,5,0
311,3,Masc,45,No indígena,Informal,Urbana,3,0
312,1,Masc,60,No indígena,Informal,Urbana,5,0
312,3,Masc,32,No indígena,Informal,Urbana,5,9000
312,4,Masc,30,No indígena,Informal,Urbana,5,9000
312,5,Masc,34,No indígena,Informal,Urbana,5,9000
314,2,Fem,45,No indígena,Informal,Urbana,3,0
315,1,Masc,55,Indígena,Informal,Urbana,6,0
316,2,Fem,62,No indígena,Informal,Urbana,5,12000
316,3,Masc,60,No indígena,Informal,Urbana,5,12000
318,1,Masc,60,No indígena,Informal,Urbana,2,0
318,2,Fem,58,No indígena,Informal,Urbana,3,0
318,3,Masc,22,No indígena,Formal,Urbana,4,10500
319,1,Masc,38,No indígena,Formal,Urbana,6,30000
320,4,Masc,54,No indígena,Informal,Urbana,6,4500
321,1,Masc,30,Indígena,Informal,Urbana,6,1500
321,2,Fem,28,Indígena,Informal,Urbana,6,0
322,2,Fem,25,Indígena,Formal,Urbana,3,4200
5398,1,Masc,42,No indígena,Formal,Urbana,5,20700
5398,2,Fem,39,No indígena,Informal,Urbana,5,0
5399,2,Masc,46,No indígena,Formal,Urbana,5,19500
5400,1,Masc,33,No indígena,Formal,Urbana,3,9000
5400,2,Fem,34,No indígena,Informal,Urbana,2,3000
5404,1,Fem,75,No indígena,Formal,Urbana,5,15000
5405,1,Masc,77,No indígena,Informal,Urbana,5,0
5405,2,Fem,75,No indígena,Informal,Urbana,5,0
5406,1,Masc,61,No indígena,Informal,Urbana,6,0
5406,2,Fem,60,No indígena,Informal,Urbana,6,0
5415,1,Masc,74,No indígena,Informal,Urbana,5,0
5424,1,Fem,62,No indígena,Informal,Urbana,6,0
5424,2,Masc,51,No indígena,Informal,Urbana,6,8000
5429,1,Masc,36,No indígena,Informal,Urbana,1,0
5430,1,Masc,37,No indígena,Informal,Urbana,5,2800
5430,2,Fem,52,No indígena,Formal,Urbana,5,7800
5430,3,Masc,48,No indígena,Formal,Urbana,5,7800
5432,1,Masc,46,No indígena,Informal,Urbana,5,0
5432,2,Fem,40,No indígena,Informal,Urbana,5,0
5504,1,Masc,43,Indígena,Formal,Urbana,6,8850
5504,2,Fem,33,Indígena,Informal,Urbana,0,0
5505,1,Masc,38,No indígena,Formal,Urbana,5,18000
5505,2,Fem,36,No indígena,Formal,Urbana,5,15000
294,1,Fem,43,No indígena,Formal,Urbana,3,10000
294,2,Masc,21,No indígena,Informal,Urbana,5,4000
294,5,Masc,40,No indígena,Formal,Urbana,5,13125
295,2,Fem,41,No indígena,Formal,Urbana,5,28750
297,1,Masc,58,No indígena,Informal,Urbana,6,7000
297,3,Fem,32,No indígena,Formal,Urbana,5,14469
298,3,Masc,43,No indígena,Informal,Urbana,5,0
299,1,Masc,49,No indígena,Informal,Urbana,5,0
299,3,Masc,21,No indígena,Informal,Urbana,3,11250
300,1,Masc,66,No indígena,Informal,Urbana,6,6000
301,1,Masc,75,No indígena,Informal,Urbana,6,0
301,2,Fem,67,No indígena,Informal,Urbana,6,0
301,3,Fem,37,No indígena,Formal,Urbana,6,8100
302,1,Masc,57,No indígena,Informal,Urbana,4,0
303,1,Masc,37,No indígena,Informal,Urbana,6,8400
303,2,Fem,37,No indígena,Informal,Urbana,6,0
304,2,Masc,25,No indígena,Informal,Urbana,5,0
305,1,Fem,58,No indígena,Formal,Urbana,5,25000
305,3,Fem,28,No indígena,Formal,Urbana,5,9000
326,1,Masc,33,No indígena,Formal,Urbana,3,17500
327,1,Masc,30,No indígena,Formal,Urbana,5,18000
328,1,Fem,53,No indígena,Formal,Urbana,5,13500
328,2,Fem,32,No indígena,Formal,Urbana,3,9000
329,1,Masc,33,No indígena,Formal,Urbana,5,9000
5193,1,Masc,53,No indígena,Informal,Urbana,5,0
5203,1,Masc,68,No indígena,Informal,Urbana,6,1500
5205,1,Masc,52,No indígena,Informal,Urbana,4,3000
5206,2,Fem,64,No indígena,Formal,Urbana,6,9000
5206,3,Fem,37,No indígena,Formal,Urbana,6,9000
5206,4,Fem,32,No indígena,Formal,Urbana,6,9000
5206,5,Fem,27,No indígena,Formal,Urbana,6,9000
5207,1,Masc,19,No indígena,Formal,Urbana,6,14700
5207,3,Fem,39,No indígena,Informal,Urbana,6,0
5209,1,Masc,56,No indígena,Informal,Urbana,6,9000
5209,2,Fem,54,No indígena,Informal,Urbana,6,9000
5210,1,Masc,40,No indígena,Formal,Urbana,6,9000
5210,2,Fem,39,No indígena,Formal,Urbana,6,9000
5213,1,Masc,50,No indígena,Formal,Urbana,5,15000
5216,1,Masc,38,No indígena,Informal,Urbana,5,33000
5274,1,Masc,47,No indígena,Formal,Urbana,5,26340
5274,2,Fem,40,No indígena,Formal,Urbana,6,17424
5421,3,Masc,36,No indígena,Formal,Urbana,5,36000
5421,5,Masc,40,No indígena,Formal,Urbana,5,36000
